,BTCUSDT,ETHUSDT,USDTUSDT,XRPUSDT,BNBUSDT,SOLUSDT,USDCUSDT,TRXUSDT,STETHUSDT,DOGEUSDT,ADAUSDT,FIGR_HELOCUSDT,WBTUSDT,WSTETHUSDT,WBTCUSDT,BCHUSDT,WBETHUSDT,HYPEUSDT,LINKUSDT,USDSUSDT,BSC-USDUSDT,LEOUSDT,ZECUSDT,XLMUSDT,WETHUSDT,WEETHUSDT,XMRUSDT,USDEUSDT,CBBTCUSDT,LTCUSDT,AVAXUSDT,HBARUSDT,SUIUSDT,SHIBUSDT,DAIUSDT,WLFIUSDT,CROUSDT,SUSDEUSDT,TONUSDT,USDT0USDT,SUSDSUSDT,UNIUSDT,PYUSDUSDT,DOTUSDT,MNTUSDT,CCUSDT,TAOUSDT,AAVEUSDT,USD1USDT,BGBUSDT,NEARUSDT,OKBUSDT,BUIDLUSDT,MUSDT,ICPUSDT,ASTERUSDT,USDFUSDT,XAUTUSDT,ETCUSDT,PIUSDT,ENAUSDT,JITOSOLUSDT,PEPEUSDT,JLPUSDT,PUMPUSDT,RAINUSDT,APTUSDT,KASUSDT,ONDOUSDT,HTXUSDT,WLDUSDT,KCSUSDT,POLUSDT,PAXGUSDT,SYRUPUSDCUSDT,USDTBUSDT,BFUSDUSDT,RETHUSDT,ALGOUSDT,RLUSDUSDT,TRUMPUSDT,GTUSDT,QNTUSDT,WBNBUSDT,ARBUSDT,USDGUSDT,ATOMUSDT,VETUSDT,BNSOLUSDT,FILUSDT,HASHUSDT,FLRUSDT,USYCUSDT,SKYUSDT,FBTCUSDT,RSETHUSDT,KHYPEUSDT
PYUSDUSDT,0.3181271616804229,0.11028605135696909,0.4339929902393726,0.2937316644945886,-0.026624729172828966,0.21907389387570234,-0.5301083517969546,0.20734926780095547,0.12286842694376295,0.0386629025333314,0.11894518949994098,0.319121202919643,0.5122629863786603,0.11960935435244044,0.37624402841939236,-0.035529582238357525,0.10216647250904498,0.5273838472026243,0.011277876224567404,0.8325759033762263,0.25390112519052527,0.013485571948245779,0.13385802651383205,0.45372806076583183,0.09283311370166944,0.13861402734826686,-0.4055825206461162,0.5601988700593552,0.2961395743437321,-0.029451284520530682,0.042525600889015865,0.3661696726260707,0.16017634293458993,-0.08618703575577683,0.6404693148620736,-0.09230000141134884,0.21827284362872823,0.22712383248170012,-0.2729951539931912,0.35184186518800104,0.28846629996556183,0.48687640018289646,1.0,-0.09672961984933487,-0.3351459256272852,0.289715762778459,0.19642019236911185,0.020197143006473375,0.8018964724923608,-0.5914595304547418,-0.16542678280616605,-0.32413257687548835,,0.06352923135890631,0.17323255222251452,0.3075108555961268,0.35629944516368217,0.3598598750539603,0.27768350216966853,-0.4155769238447658,0.022982505707817024,0.21222498771462156,-0.0477072264846147,0.25597412195300595,0.00896947433127237,0.17292217010108657,-0.11097439596327573,0.15423274530387526,0.06382762459128986,-0.00542821593770665,-0.2897890844043243,0.42663945480798826,-0.263996380058055,0.2640903513298804,-0.12765355844697168,0.3588852425775767,0.3029001501570629,0.12257864363127356,0.2233996215536311,0.8529128219531814,-0.2841586904942748,-0.024107199473192516,-0.2489603072864535,-0.04471810400127107,-0.004862248028272945,0.3797417094133281,-0.225173826183588,0.11496091207964843,0.18675468171190793,-0.050194460049708144,-0.2758963233630293,0.46597988382973443,0.8417731148673788,0.2978898011950422,0.44173678889206475,0.13741405004675966,0.5206763789050706
DOTUSDT,0.5172500035893373,0.6812756014041552,-0.6037181988361492,0.4741772084247674,0.8081218397899527,0.6871766427596283,0.746709179186278,0.7513845566808051,0.6834479919539801,0.7187493587879719,0.8924254808932741,0.10942042157889752,0.2885241175694567,0.689666412533308,0.47750143510138443,-0.4873582399645877,0.6947654511313076,0.6933467471533558,0.7610550565034346,-0.08589435350603553,-0.42950749868282617,0.40305048875853294,0.42880252134168867,0.2872126322086242,0.6756285128051713,0.6731645125594609,-0.12882452530871308,-0.5063152750803116,0.5383568517114258,0.9075006362936952,0.7097974873106788,0.10209075731427612,0.6768715144788187,0.47906617731487827,-0.12925293676459934,-0.7425062153812926,0.34600313289808426,-0.5643123927917735,0.7185741410494795,-0.1213618984962365,0.030641061039338533,0.6706998477264399,-0.09672961984933487,1.0,0.6238411632576498,0.7312400200568084,0.2234378097360786,0.5815437592110994,-0.21863374205979993,0.4261893561864067,0.9486870365788402,0.6720823766773599,,0.05711012882574329,0.5629555219611131,0.041721882096670784,-0.5729105150616334,0.5285404400437284,0.28565385176788677,0.4813322286609796,0.5110555525577496,0.6897690219501895,0.8186820517694046,0.660801316704332,0.8512921100592096,0.36664837430776703,0.8320195164497779,0.352192274202103,0.7969878167394476,0.9072494801915784,0.848718807775013,0.18609865277253218,0.8929616209499632,0.5550219860811879,0.14006472326776107,-0.48348198168809425,-0.8325915592045565,0.6754654873134044,0.3106758029014732,-0.20074846310381508,0.9113713905539089,0.7013925101017289,-0.07411344562634707,0.8095744160239647,0.8484812160554638,0.343350091274332,0.8980342025770404,0.7947834240478394,0.7065794254020978,0.8795021604087826,-0.19375109596839182,0.37353484387255853,0.03382158514626214,0.7046752339341059,0.37272247056939944,0.6708841074760932,0.6696873115685301
MNTUSDT,0.6506365668260099,0.5310996381607391,-0.49814852195643505,0.38801174679929845,0.8518325408786203,0.6070857533208818,0.40058372099004075,0.6908329392093581,0.5312813709458218,0.7586886742005653,0.6911950187156675,0.005673766267121511,0.07372597544004987,0.5395858549635721,0.5964985419634743,-0.5067201493263805,0.546556657062671,0.4493922061644384,0.8527396032739268,-0.48016967952646084,-0.6163837883142699,0.15612347994079637,0.6789115585512833,0.5507567075999856,0.5371498340767096,0.5111284662572493,0.6036380709836476,-0.4888253885049483,0.6581081041207291,0.7987085972474751,0.6516107589147418,0.5603329845680155,0.33919624386034347,0.35742389424285825,-0.20303215285526618,-0.4554570715810487,0.6738624256081643,-0.16121723721482153,0.3468329395491721,-0.5195757097329121,0.14803985843017933,0.07802525425920487,-0.3351459256272852,0.6238411632576498,1.0,0.3215282873969677,0.5680044103625778,0.694885380187608,-0.4799006703966675,0.9080310054666992,0.7180702546312023,0.9420906264366528,,-0.01114361148946211,0.252141017731836,-0.651090356901876,-0.662979446896585,0.35887088976368126,-0.07138203731461512,0.8714390188906161,0.35264852546983777,0.6075344431205527,0.6292706743756339,0.6146123510641873,0.35683496843643864,-0.004236461221462161,0.6801683674432357,0.4376851979651208,0.7675212161768652,0.7264278917206333,0.8713697950143524,0.18288092599732275,0.8571129468541837,0.2922772664326868,0.0621106890971452,-0.4700151527420799,-0.7540071247689277,0.516599669740038,0.6653837599590186,-0.1237874288545192,0.7502568767403646,0.8348481217941526,0.2956530829946145,0.8596415649116257,0.551210087611465,-0.23356642293820823,0.8309457942149766,0.5924289700246197,0.6253028432166899,0.6600155652385089,-0.21374797138819004,0.45665899111532104,-0.342279439029698,0.6710134487985286,0.4556184005142513,0.523270891824676,0.4758409564042358
CCUSDT,0.5111730292642036,0.8206046430379403,-0.24719792739627536,0.8590668244844163,0.6344144996468742,0.830544157783622,0.358854399168037,0.4558379574501109,0.8243948066239126,0.7957909321858456,0.8398023362595397,0.058733702205064936,0.5837261466186334,0.8286708988075312,0.5123353417792662,-0.35827969875871307,0.8233801051210327,0.7296688573113276,0.7029956693520457,0.2823350100328521,-0.14311869527112253,0.647562367781977,0.19908677954324086,0.5848668894310141,0.8098593553390145,0.8248663675462549,-0.17518869813438306,-0.3620442467256942,0.5254788858003346,0.7838796100712013,0.5856250148693739,0.3295356392655974,0.9039837002594739,0.6157579197239811,0.16228582908270284,-0.51723507957741,0.6074189830096051,-0.3773972777717575,0.5138555571179505,0.13948050688704908,-0.08387400945207235,0.7099435461059512,0.289715762778459,0.7312400200568084,0.3215282873969677,1.0,0.2521147874584734,0.7063505649124582,0.14972886993727041,0.10768063902178762,0.7422645910917476,0.44799785920485674,,0.03143024235405189,0.5914629593712231,0.3723697372246949,-0.266297818955721,0.7817081322392191,0.7257453342048099,-0.010535060583612867,0.6914681912033152,0.8325839432843447,0.8581022864297371,0.817281269813506,0.7619849764500657,0.7673664544392684,0.5755095571083124,0.3938793397312768,0.7899023850368385,0.6876936596476211,0.6553379539450417,0.2202544528896775,0.6892741462721601,0.7480298573027357,0.21226141275788338,-0.4031045356284876,-0.3354796842103392,0.8234889191367387,0.40350487651499306,0.13718419110647434,0.6413219665188715,0.4341698255222517,0.05120661430029139,0.6317451781411587,0.9128234858125734,0.4566342464226885,0.5006419859055394,0.8978292012980431,0.8264161718031314,0.6501045405573478,-0.14122597457122996,0.5483069464976541,0.25694027784778745,0.47242380485466706,0.4968543643089499,0.8110024562899015,0.6852300441187129
TAOUSDT,0.37561340026221623,0.21720848094321338,-0.4927727280748299,0.28023539034145145,0.42746363192376824,0.4420075026439227,-0.19772694428781856,0.5978612746428904,0.21794525990474242,0.6411256083814125,0.3586469972308898,-0.45516606676120336,0.0837604699598502,0.22151278818367648,0.35916026000751466,-0.8555657960775642,0.2304476985165861,0.5356164583306716,0.6303349274833504,-0.27057424159154936,-0.7191037435685544,-0.17922668022260105,0.7734200901173506,0.5835806344451193,0.2070223841590758,0.20101103674703447,0.15734176325884608,-0.3047122256187347,0.35993954886139656,0.5105410570161344,0.35697900123327525,0.6605930106720683,0.3976211618903792,0.5470374378188468,-0.027318686467677107,-0.25277150811105104,0.6756513279471507,-0.20198356286161748,-0.17384131680372686,-0.7145988576556298,-0.24248799297048193,0.1284322791076693,0.19642019236911185,0.2234378097360786,0.5680044103625778,0.2521147874584734,1.0,0.37495782157619684,-0.29623527402530525,0.28773982037444956,0.4450639841437101,0.406138195815905,,-0.0472003184647226,0.59906495166712,-0.25623205004576977,-0.6695977425606865,0.16763296484562357,-0.11497956352897762,0.3283512071077242,0.49723115119736777,0.43470234459700924,0.32557745345594075,0.43567357704643844,-0.030920567448011745,-0.14084439730330317,0.5578901192322134,0.37503977995846405,0.6316951832658976,0.33460650082364496,0.4870625595226071,0.14421388294725268,0.45036640292108215,-0.043052202383553194,-0.517950131855676,-0.18743726891233378,-0.2993919406935249,0.19754151391780198,0.9502576781267724,0.25582517276305244,0.23527553194060333,0.42823654158773217,0.6528002512927,0.4274660380297069,0.2897904448927575,-0.5417801446042169,0.4530585276806879,0.29775542700388025,0.42946865966202946,0.6006298858314366,0.2932510751235297,0.4832714216901697,0.28180314211452906,0.5384235722978685,0.2736413087513101,0.21369329574383833,0.5883356191231776
AAVEUSDT,0.759777239223804,0.9288676290705548,-0.07996978736408762,0.875094747371484,0.8614029597422419,0.9259201144430833,0.3679593260024928,0.4355083315252264,0.9292050530696381,0.8721506495692007,0.8374610526560845,0.19499839868484597,0.5349452859210686,0.9317116455830965,0.7427483470967133,-0.19241015852741833,0.9308220069705825,0.5998289332969011,0.8790943063626935,-0.02030841578801984,-0.08441006996353273,0.7356781811579589,0.23354682023622433,0.7687424863240524,0.9322492300330678,0.9238147868083878,0.44178125431144305,-0.2253408424982194,0.7692111370336285,0.8077890567953877,0.8192022044782112,0.5409987141868159,0.7098458035370219,0.5552188955404351,-0.03880168356713494,-0.20852653113711117,0.8400663427897219,0.10068432198291985,0.5727762559070946,0.06067028724244598,0.11204429527682618,0.340330242296392,0.020197143006473375,0.5815437592110994,0.694885380187608,0.7063505649124582,0.37495782157619684,1.0,-0.008576947307426575,0.6054666161387459,0.6587253617362862,0.8234146114505656,,0.0066749711277647806,0.28918034748663857,-0.21706987511561962,-0.26651155546167155,0.8423018408616513,0.596989800723717,0.5050987291214204,0.6579797512452158,0.9260086551569054,0.8798249299375182,0.9351801339233826,0.6498227786627163,0.65127487131534,0.3806828252922897,0.7194306235903138,0.8533730721810557,0.7268062008787968,0.7873709000514815,0.3948162319307165,0.745206472028943,0.8021489973514979,0.5079628834069301,-0.3476971601239238,-0.5059641476232069,0.9261097739316699,0.5186458991551748,0.1035254231679588,0.5950183429262963,0.7597332163680225,0.2590656832491563,0.864982487760688,0.8222591241089685,0.26080707610448234,0.5078035562762578,0.9078535351694578,0.9295647660566232,0.5050746540112302,-0.3663037364557042,0.6661983352272611,-0.15066926954577894,0.5314160516361749,0.7039153901619655,0.9267416820895724,0.5796869639728197
